 no. of detectors, no. of ut parameters                                         
   700     5 
 det, delta, len2,code, 2theta, ut1, ut2, ut3, ut4, ut5                         
   225    0.000    4.136  300   7.405   2.000   0.000   0.000 192.000   2.000
   226    0.000    4.155  300   7.272   2.000   0.000   0.000 192.000   2.000
   227    0.000    4.173  300   7.139   2.000   0.000   0.000 192.000   2.000
   228    0.000    4.192  300   7.008   2.000   0.000   0.000 192.000   2.000
   229    0.000    4.211  300   6.879   2.000   0.000   0.000 192.000   2.000
   230    0.000    4.230  300   6.750   2.000   0.000   0.000 192.000   2.000
   231    0.000    4.248  300   6.623   2.000   0.000   0.000 192.000   2.000
   232    0.000    4.267  300   6.496   2.000   0.000   0.000 192.000   2.000
   233    0.000    4.286  300   6.371   2.000   0.000   0.000 192.000   2.000
   234    0.000    4.305  300   6.247   2.000   0.000   0.000 192.000   2.000
   235    0.000    4.324  300   6.124   2.000   0.000   0.000 192.000   2.000
   236    0.000    4.343  300   6.002   2.000   0.000   0.000 192.000   2.000
   237    0.000    4.361  300   5.881   2.000   0.000   0.000 192.000   2.000
   238    0.000    4.380  300   5.761   2.000   0.000   0.000 192.000   2.000
   239    0.000    4.399  300   5.642   2.000   0.000   0.000 192.000   2.000
   240    0.000    4.418  300   5.524   2.000   0.000   0.000 192.000   2.000
   241    0.000    4.062  300   7.884   2.000   0.000   0.000 168.000   2.000
   242    0.000    4.080  300   7.746   2.000   0.000   0.000 168.000   2.000
   243    0.000    4.099  300   7.610   2.000   0.000   0.000 168.000   2.000
   244    0.000    4.117  300   7.474   2.000   0.000   0.000 168.000   2.000
   245    0.000    4.136  300   7.340   2.000   0.000   0.000 168.000   2.000
   246    0.000    4.155  300   7.207   2.000   0.000   0.000 168.000   2.000
   247    0.000    4.173  300   7.075   2.000   0.000   0.000 168.000   2.000
   248    0.000    4.192  300   6.945   2.000   0.000   0.000 168.000   2.000
   249    0.000    4.211  300   6.815   2.000   0.000   0.000 168.000   2.000
   250    0.000    4.230  300   6.687   2.000   0.000   0.000 168.000   2.000
   251    0.000    4.248  300   6.560   2.000   0.000   0.000 168.000   2.000
   252    0.000    4.267  300   6.433   2.000   0.000   0.000 168.000   2.000
   253    0.000    4.286  300   6.309   2.000   0.000   0.000 168.000   2.000
   254    0.000    4.305  300   6.185   2.000   0.000   0.000 168.000   2.000
   255    0.000    4.324  300   6.062   2.000   0.000   0.000 168.000   2.000
   256    0.000    4.343  300   5.940   2.000   0.000   0.000 168.000   2.000
   257    0.000    4.361  300   5.819   2.000   0.000   0.000 168.000   2.000
   258    0.000    4.380  300   5.700   2.000   0.000   0.000 168.000   2.000
   259    0.000    4.399  300   5.581   2.000   0.000   0.000 168.000   2.000
   260    0.000    4.418  300   5.464   2.000   0.000   0.000 168.000   2.000
   261    0.000    4.062  300   7.930   2.000   0.000   0.000 134.000   2.000
   262    0.000    4.080  300   7.792   2.000   0.000   0.000 134.000   2.000
   263    0.000    4.099  300   7.655   2.000   0.000   0.000 134.000   2.000
   264    0.000    4.117  300   7.519   2.000   0.000   0.000 134.000   2.000
   265    0.000    4.136  300   7.385   2.000   0.000   0.000 134.000   2.000
   266    0.000    4.155  300   7.252   2.000   0.000   0.000 134.000   2.000
   267    0.000    4.173  300   7.120   2.000   0.000   0.000 134.000   2.000
   268    0.000    4.192  300   6.989   2.000   0.000   0.000 134.000   2.000
   269    0.000    4.211  300   6.859   2.000   0.000   0.000 134.000   2.000
   270    0.000    4.230  300   6.731   2.000   0.000   0.000 134.000   2.000
   271    0.000    4.248  300   6.603   2.000   0.000   0.000 134.000   2.000
   272    0.000    4.267  300   6.477   2.000   0.000   0.000 134.000   2.000
   273    0.000    4.286  300   6.352   2.000   0.000   0.000 134.000   2.000
   274    0.000    4.305  300   6.228   2.000   0.000   0.000 134.000   2.000
   275    0.000    4.324  300   6.105   2.000   0.000   0.000 134.000   2.000
   276    0.000    4.343  300   5.983   2.000   0.000   0.000 134.000   2.000
   277    0.000    4.361  300   5.862   2.000   0.000   0.000 134.000   2.000
   278    0.000    4.380  300   5.742   2.000   0.000   0.000 134.000   2.000
   279    0.000    4.399  300   5.623   2.000   0.000   0.000 134.000   2.000
   280    0.000    4.418  300   5.505   2.000   0.000   0.000 134.000   2.000
   301    0.000    3.591  300  10.555   2.000   0.000   0.000 226.000   2.000
   302    0.000    3.610  300  10.411   2.000   0.000   0.000 226.000   2.000
   303    0.000    3.629  300  10.269   2.000   0.000   0.000 226.000   2.000
   304    0.000    3.648  300  10.128   2.000   0.000   0.000 226.000   2.000
   305    0.000    3.667  300   9.989   2.000   0.000   0.000 226.000   2.000
   306    0.000    3.686  300   9.851   2.000   0.000   0.000 226.000   2.000
   307    0.000    3.705  300   9.714   2.000   0.000   0.000 226.000   2.000
   308    0.000    3.724  300   9.579   2.000   0.000   0.000 226.000   2.000
