 Number_of_detectors, Number of ut parameters
              1844                       5
 Detector,     delta,      len2,      code,    2theta,       ut1,       ut2,       ut3,       ut4,       ut5
 20114027    0.00000    5.52638  300.00000    0.82934    0.00000    0.00000    0.00000  110.84000    0.00000
 20114028    0.00000    5.52631  300.00000    0.77754    0.00000    0.00000    0.00000  110.84000    0.00000
 20114029    0.00000    5.52624  300.00000    0.72573    0.00000    0.00000    0.00000  110.84000    0.00000
 20114030    0.00000    5.52618  300.00000    0.67393    0.00000    0.00000    0.00000  110.84000    0.00000
 20114031    0.00000    5.52612  300.00000    0.62214    0.00000    0.00000    0.00000  110.84000    0.00000
 20114032    0.00000    5.52607  300.00000    0.57035    0.00000    0.00000    0.00000  110.84000    0.00000
 20114033    0.00000    5.52602  300.00000    0.51857    0.00000    0.00000    0.00000  110.84000    0.00000
 20115001    0.00000    5.52978  300.00000    2.17605    0.00000    0.00000    0.00000   96.94700    0.00000
 20115002    0.00000    5.52960  300.00000    2.12428    0.00000    0.00000    0.00000   96.94700    0.00000
 20115003    0.00000    5.52941  300.00000    2.07251    0.00000    0.00000    0.00000   96.94700    0.00000
 20115004    0.00000    5.52923  300.00000    2.02074    0.00000    0.00000    0.00000   96.94700    0.00000
 20115005    0.00000    5.52906  300.00000    1.96896    0.00000    0.00000    0.00000   96.94700    0.00000
 20115006    0.00000    5.52889  300.00000    1.91718    0.00000    0.00000    0.00000   96.94700    0.00000
 20115007    0.00000    5.52873  300.00000    1.86540    0.00000    0.00000    0.00000   96.94700    0.00000
 20115008    0.00000    5.52857  300.00000    1.81361    0.00000    0.00000    0.00000   96.94700    0.00000
 20115009    0.00000    5.52841  300.00000    1.76182    0.00000    0.00000    0.00000   96.94700    0.00000
 20115010    0.00000    5.52826  300.00000    1.71003    0.00000    0.00000    0.00000   96.94700    0.00000
 20115011    0.00000    5.52811  300.00000    1.65824    0.00000    0.00000    0.00000   96.94700    0.00000
 20115012    0.00000    5.52797  300.00000    1.60644    0.00000    0.00000    0.00000   96.94700    0.00000
 20115013    0.00000    5.52783  300.00000    1.55465    0.00000    0.00000    0.00000   96.94700    0.00000
 20115014    0.00000    5.52770  300.00000    1.50285    0.00000    0.00000    0.00000   96.94700    0.00000
 20115015    0.00000    5.52757  300.00000    1.45105    0.00000    0.00000    0.00000   96.94700    0.00000
 20115016    0.00000    5.52744  300.00000    1.39924    0.00000    0.00000    0.00000   96.94700    0.00000
 20115017    0.00000    5.52732  300.00000    1.34744    0.00000    0.00000    0.00000   96.94700    0.00000
 20115018    0.00000    5.52721  300.00000    1.29563    0.00000    0.00000    0.00000   96.94700    0.00000
 20115019    0.00000    5.52710  300.00000    1.24382    0.00000    0.00000    0.00000   96.94700    0.00000
 20115020    0.00000    5.52699  300.00000    1.19201    0.00000    0.00000    0.00000   96.94700    0.00000
 20115021    0.00000    5.52689  300.00000    1.14021    0.00000    0.00000    0.00000   96.94700    0.00000
 20115022    0.00000    5.52679  300.00000    1.08839    0.00000    0.00000    0.00000   96.94700    0.00000
 20115023    0.00000    5.52670  300.00000    1.03658    0.00000    0.00000    0.00000   96.94700    0.00000
 20115024    0.00000    5.52661  300.00000    0.98477    0.00000    0.00000    0.00000   96.94700    0.00000
 20115025    0.00000    5.52653  300.00000    0.93296    0.00000    0.00000    0.00000   96.94700    0.00000
 20115026    0.00000    5.52645  300.00000    0.88115    0.00000    0.00000    0.00000   96.94700    0.00000
 20115027    0.00000    5.52638  300.00000    0.82934    0.00000    0.00000    0.00000   96.94700    0.00000
 20115028    0.00000    5.52631  300.00000    0.77754    0.00000    0.00000    0.00000   96.94700    0.00000
 20115029    0.00000    5.52624  300.00000    0.72573    0.00000    0.00000    0.00000   96.94700    0.00000
 20115030    0.00000    5.52618  300.00000    0.67393    0.00000    0.00000    0.00000   96.94700    0.00000
 20115031    0.00000    5.52612  300.00000    0.62214    0.00000    0.00000    0.00000   96.94700    0.00000
 20115032    0.00000    5.52607  300.00000    0.57035    0.00000    0.00000    0.00000   96.94700    0.00000
 20115033    0.00000    5.52602  300.00000    0.51857    0.00000    0.00000    0.00000   96.94700    0.00000
 20116001    0.00000    5.52978  300.00000    2.17605    0.00000    0.00000    0.00000   83.05300    0.00000
 20116002    0.00000    5.52960  300.00000    2.12428    0.00000    0.00000    0.00000   83.05300    0.00000
 20116003    0.00000    5.52941  300.00000    2.07251    0.00000    0.00000    0.00000   83.05300    0.00000
 20116004    0.00000    5.52923  300.00000    2.02074    0.00000    0.00000    0.00000   83.05300    0.00000
 20116005    0.00000    5.52906  300.00000    1.96896    0.00000    0.00000    0.00000   83.05300    0.00000
 20116006    0.00000    5.52889  300.00000    1.91718    0.00000    0.00000    0.00000   83.05300    0.00000
 20116007    0.00000    5.52873  300.00000    1.86540    0.00000    0.00000    0.00000   83.05300    0.00000
 20116008    0.00000    5.52857  300.00000    1.81361    0.00000    0.00000    0.00000   83.05300    0.00000
 20116009    0.00000    5.52841  300.00000    1.76182    0.00000    0.00000    0.00000   83.05300    0.00000
 20116010    0.00000    5.52826  300.00000    1.71003    0.00000    0.00000    0.00000   83.05300    0.00000
 20116011    0.00000    5.52811  300.00000    1.65824    0.00000    0.00000    0.00000   83.05300    0.00000
 20116012    0.00000    5.52797  300.00000    1.60644    0.00000    0.00000    0.00000   83.05300    0.00000
 20116013    0.00000    5.52783  300.00000    1.55465    0.00000    0.00000    0.00000   83.05300    0.00000
 20116014    0.00000    5.52770  300.00000    1.50285    0.00000    0.00000    0.00000   83.05300    0.00000
 20116015    0.00000    5.52757  300.00000    1.45105    0.00000    0.00000    0.00000   83.05300    0.00000
 20116016    0.00000    5.52744  300.00000    1.39924    0.00000    0.00000    0.00000   83.05300    0.00000
 20116017    0.00000    5.52732  300.00000    1.34744    0.00000    0.00000    0.00000   83.05300    0.00000
 20116018    0.00000    5.52721  300.00000    1.29563    0.00000    0.00000    0.00000   83.05300    0.00000
 20116019    0.00000    5.52710  300.00000    1.24382    0.00000    0.00000    0.00000   83.05300    0.00000
 20116020    0.00000    5.52699  300.00000    1.19201    0.00000    0.00000    0.00000   83.05300    0.00000
 20116021    0.00000    5.52689  300.00000    1.14021    0.00000    0.00000    0.00000   83.05300    0.00000
 20116022    0.00000    5.52679  300.00000    1.08839    0.00000    0.00000    0.00000   83.05300    0.00000
 20116023    0.00000    5.52670  300.00000    1.03658    0.00000    0.00000    0.00000   83.05300    0.00000
 20116024    0.00000    5.52661  300.00000    0.98477    0.00000    0.00000    0.00000   83.05300    0.00000
 20116025    0.00000    5.52653  300.00000    0.93296    0.00000    0.00000    0.00000   83.05300    0.00000
 20116026    0.00000    5.52645  300.00000    0.88115    0.00000    0.00000    0.00000   83.05300    0.00000
 20116027    0.00000    5.52638  300.00000    0.82934    0.00000    0.00000    0.00000   83.05300    0.00000
 20116028    0.00000    5.52631  300.00000    0.77754    0.00000    0.00000    0.00000   83.05300    0.00000
 20116029    0.00000    5.52624  300.00000    0.72573    0.00000    0.00000    0.00000   83.05300    0.00000
 20116030    0.00000    5.52618  300.00000    0.67393    0.00000    0.00000    0.00000   83.05300    0.00000
 20116031    0.00000    5.52612  300.00000    0.62214    0.00000    0.00000    0.00000   83.05300    0.00000
 20116032    0.00000    5.52607  300.00000    0.57035    0.00000    0.00000    0.00000   83.05300    0.00000
 20116033    0.00000    5.52602  300.00000    0.51857    0.00000    0.00000    0.00000   83.05300    0.00000
 20117001    0.00000    5.52978  300.00000    2.17605    0.00000    0.00000    0.00000   69.16000    0.00000
 20117002    0.00000    5.52960  300.00000    2.12428    0.00000    0.00000    0.00000   69.16000    0.00000
 20117003    0.00000    5.52941  300.00000    2.07251    0.00000    0.00000    0.00000   69.16000    0.00000
 20117004    0.00000    5.52923  300.00000    2.02074    0.00000    0.00000    0.00000   69.16000    0.00000
 20117005    0.00000    5.52906  300.00000    1.96896    0.00000    0.00000    0.00000   69.16000    0.00000
 20117006    0.00000    5.52889  300.00000    1.91718    0.00000    0.00000    0.00000   69.16000    0.00000
 20117007    0.00000    5.52873  300.00000    1.86540    0.00000    0.00000    0.00000   69.16000    0.00000
 20117008    0.00000    5.52857  300.00000    1.81361    0.00000    0.00000    0.00000   69.16000    0.00000
 20117009    0.00000    5.52841  300.00000    1.76182    0.00000    0.00000    0.00000   69.16000    0.00000
 20117010    0.00000    5.52826  300.00000    1.71003    0.00000    0.00000    0.00000   69.16000    0.00000
 20117011    0.00000    5.52811  300.00000    1.65824    0.00000    0.00000    0.00000   69.16000    0.00000
 20117012    0.00000    5.52797  300.00000    1.60644    0.00000    0.00000    0.00000   69.16000    0.00000
 20117013    0.00000    5.52783  300.00000    1.55465    0.00000    0.00000    0.00000   69.16000    0.00000
 20117014    0.00000    5.52770  300.00000    1.50285    0.00000    0.00000    0.00000   69.16000    0.00000
 20117015    0.00000    5.52757  300.00000    1.45105    0.00000    0.00000    0.00000   69.16000    0.00000
 20117016    0.00000    5.52744  300.00000    1.39924    0.00000    0.00000    0.00000   69.16000    0.00000
 20117017    0.00000    5.52732  300.00000    1.34744    0.00000    0.00000    0.00000   69.16000    0.00000
