 Number_of_detectors, Number of ut parameters
               135                       5
 Detector,     delta,      len2,      code,    2theta,       ut1,       ut2,       ut3,       ut4,       ut5
 10101001    0.00000  -13.66200  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10102001    0.00000  -11.80800  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10103001    0.00000   -7.80800  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10104001    0.00000   -4.74000  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10104002    0.00000   -4.74000  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10105001    0.00000   -2.54000  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10105002    0.00000   -2.54000  300.00000  180.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10106001    0.00000    7.39000  300.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 10106002    0.00000    7.39000  300.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.10000
 20204001    0.00000    4.81595  300.00000    5.32122    0.00000    0.00000    0.00000    0.00000    2.00000
 20204002    0.00000    4.83395  300.00000    5.21812    0.00000    0.00000    0.00000    0.00000    2.00000
 20204003    0.00000    4.85197  300.00000    5.11581    0.00000    0.00000    0.00000    0.00000    2.00000
 20204004    0.00000    4.87000  300.00000    5.01427    0.00000    0.00000    0.00000    0.00000    2.00000
 20204005    0.00000    4.88805  300.00000    4.91350    0.00000    0.00000    0.00000    0.00000    2.00000
 20204006    0.00000    4.90611  300.00000    4.81349    0.00000    0.00000    0.00000    0.00000    2.00000
 20204007    0.00000    4.92419  300.00000    4.71424    0.00000    0.00000    0.00000    0.00000    2.00000
 20204008    0.00000    4.94228  300.00000    4.61574    0.00000    0.00000    0.00000    0.00000    2.00000
 20204009    0.00000    4.96038  300.00000    4.51797    0.00000    0.00000    0.00000    0.00000    2.00000
 20204010    0.00000    4.97850  300.00000    4.42094    0.00000    0.00000    0.00000    0.00000    2.00000
 20204011    0.00000    4.99664  300.00000    4.32464    0.00000    0.00000    0.00000    0.00000    2.00000
 20204012    0.00000    5.01479  300.00000    4.22907    0.00000    0.00000    0.00000    0.00000    2.00000
 20204013    0.00000    5.03295  300.00000    4.13421    0.00000    0.00000    0.00000    0.00000    2.00000
