Number_of_entries  Number_of_user_table_parameters
             3008                                5
Detector     Delta       Len2  Code    2theta  UT1  UT2  UT3  UT4  UT5
102028  0.0  2.246000  100  10.284443  0  0  0  0  180.000000
102029  0.0  2.246000  100  10.171971  0  0  0  0  180.000000
102030  0.0  2.246000  100  10.019484  0  0  0  0  180.000000
102031  0.0  2.246000  100  9.923780  0  0  0  0  180.000000
102032  0.0  2.246000  100  9.766987  0  0  0  0  180.000000
102033  0.0  2.246000  100  9.655963  0  0  0  0  180.000000
102034  0.0  2.246000  100  9.320216  0  0  0  0  180.000000
102035  0.0  2.246000  100  9.243474  0  0  0  0  180.000000
102036  0.0  2.246000  100  9.071302  0  0  0  0  180.000000
102037  0.0  2.247000  100  8.961300  0  0  0  0  180.000000
102038  0.0  2.247000  100  8.828725  0  0  0  0  180.000000
102039  0.0  2.247000  100  8.724414  0  0  0  0  180.000000
102040  0.0  2.247000  100  8.617989  0  0  0  0  180.000000
102041  0.0  2.247000  100  8.462005  0  0  0  0  180.000000
102042  0.0  2.247000  100  8.322512  0  0  0  0  180.000000
102043  0.0  2.247000  100  8.184846  0  0  0  0  180.000000
102044  0.0  2.248000  100  8.124292  0  0  0  0  180.000000
102045  0.0  2.248000  100  7.780725  0  0  0  0  180.000000
102046  0.0  2.248000  100  7.632188  0  0  0  0  180.000000
102047  0.0  2.248000  100  7.543293  0  0  0  0  180.000000
102048  0.0  2.249000  100  7.361578  0  0  0  0  180.000000
102049  0.0  2.249000  100  7.259320  0  0  0  0  180.000000
102050  0.0  2.249000  100  7.084764  0  0  0  0  180.000000
102051  0.0  2.249000  100  6.981573  0  0  0  0  180.000000
102052  0.0  2.250000  100  6.947452  0  0  0  0  180.000000
102053  0.0  2.250000  100  6.818254  0  0  0  0  180.000000
102054  0.0  2.250000  100  6.679154  0  0  0  0  180.000000
102055  0.0  2.251000  100  6.515380  0  0  0  0  180.000000
  103200       0.0       0.25   100      90.0    0    0    0    0    0
103001  0.0  2.251000  100  14.201039  0  0  0  0  -90.000000
103002  0.0  2.250000  100  14.075020  0  0  0  0  -90.000000
103003  0.0  2.250000  100  13.950670  0  0  0  0  -90.000000
103004  0.0  2.250000  100  13.838791  0  0  0  0  -90.000000
103005  0.0  2.249000  100  13.696334  0  0  0  0  -90.000000
103006  0.0  2.249000  100  13.575113  0  0  0  0  -90.000000
103007  0.0  2.249000  100  13.452609  0  0  0  0  -90.000000
103008  0.0  2.249000  100  13.320203  0  0  0  0  -90.000000
103009  0.0  2.248000  100  13.214397  0  0  0  0  -90.000000
103010  0.0  2.248000  100  13.100227  0  0  0  0  -90.000000
103011  0.0  2.248000  100  12.951973  0  0  0  0  -90.000000
103012  0.0  2.248000  100  12.623706  0  0  0  0  -90.000000
103013  0.0  2.247000  100  12.491602  0  0  0  0  -90.000000
103014  0.0  2.247000  100  12.371262  0  0  0  0  -90.000000
103015  0.0  2.247000  100  12.246657  0  0  0  0  -90.000000
103016  0.0  2.247000  100  12.120189  0  0  0  0  -90.000000
103017  0.0  2.247000  100  11.989519  0  0  0  0  -90.000000
103018  0.0  2.247000  100  11.871220  0  0  0  0  -90.000000
103019  0.0  2.247000  100  11.743752  0  0  0  0  -90.000000
103020  0.0  2.246000  100  11.621060  0  0  0  0  -90.000000
103021  0.0  2.246000  100  11.488351  0  0  0  0  -90.000000
103022  0.0  2.246000  100  11.373278  0  0  0  0  -90.000000
103023  0.0  2.246000  100  11.035283  0  0  0  0  -90.000000
103024  0.0  2.246000  100  10.907186  0  0  0  0  -90.000000
103025  0.0  2.246000  100  10.776303  0  0  0  0  -90.000000
103026  0.0  2.246000  100  10.662246  0  0  0  0  -90.000000
103027  0.0  2.246000  100  10.525531  0  0  0  0  -90.000000
103028  0.0  2.246000  100  10.404191  0  0  0  0  -90.000000
103029  0.0  2.246000  100  10.284130  0  0  0  0  -90.000000
103030  0.0  2.246000  100  10.158793  0  0  0  0  -90.000000
103031  0.0  2.246000  100  10.022263  0  0  0  0  -90.000000
103032  0.0  2.246000  100  9.897265  0  0  0  0  -90.000000
103033  0.0  2.246000  100  9.763402  0  0  0  0  -90.000000
103034  0.0  2.246000  100  9.458561  0  0  0  0  -90.000000
103035  0.0  2.246000  100  9.302160  0  0  0  0  -90.000000
103036  0.0  2.246000  100  9.180826  0  0  0  0  -90.000000
103037  0.0  2.247000  100  9.054306  0  0  0  0  -90.000000
103038  0.0  2.247000  100  8.944643  0  0  0  0  -90.000000
103039  0.0  2.247000  100  8.812888  0  0  0  0  -90.000000
103040  0.0  2.247000  100  8.685171  0  0  0  0  -90.000000
103041  0.0  2.247000  100  8.544546  0  0  0  0  -90.000000
103042  0.0  2.247000  100  8.414994  0  0  0  0  -90.000000
103043  0.0  2.247000  100  8.301117  0  0  0  0  -90.000000
103044  0.0  2.248000  100  8.195230  0  0  0  0  -90.000000
103045  0.0  2.248000  100  7.856031  0  0  0  0  -90.000000
103046  0.0  2.248000  100  7.719610  0  0  0  0  -90.000000
103047  0.0  2.248000  100  7.625563  0  0  0  0  -90.000000
103048  0.0  2.249000  100  7.499653  0  0  0  0  -90.000000
103049  0.0  2.249000  100  7.350421  0  0  0  0  -90.000000
103050  0.0  2.249000  100  7.234305  0  0  0  0  -90.000000
103051  0.0  2.249000  100  7.113402  0  0  0  0  -90.000000
103052  0.0  2.250000  100  7.018885  0  0  0  0  -90.000000
103053  0.0  2.250000  100  6.854139  0  0  0  0  -90.000000
103054  0.0  2.250000  100  6.751550  0  0  0  0  -90.000000
103055  0.0  2.251000  100  6.628739  0  0  0  0  -90.000000
  104200       0.0       0.25   100      90.0    0    0    0    0    0
104001  0.0  2.251000  100  14.007106  0  0  0  0  0.000000
104002  0.0  2.250000  100  13.870510  0  0  0  0  0.000000
104003  0.0  2.250000  100  13.754511  0  0  0  0  0.000000
104004  0.0  2.250000  100  13.611247  0  0  0  0  0.000000
104005  0.0  2.249000  100  13.513740  0  0  0  0  0.000000
104006  0.0  2.249000  100  13.384237  0  0  0  0  0.000000
104007  0.0  2.249000  100  13.245645  0  0  0  0  0.000000
104008  0.0  2.249000  100  13.122327  0  0  0  0  0.000000
104009  0.0  2.248000  100  12.989596  0  0  0  0  0.000000
104010  0.0  2.248000  100  12.859489  0  0  0  0  0.000000
104011  0.0  2.248000  100  12.748045  0  0  0  0  0.000000
104012  0.0  2.248000  100  12.441383  0  0  0  0  0.000000
104013  0.0  2.247000  100  12.321928  0  0  0  0  0.000000
104014  0.0  2.247000  100  12.192475  0  0  0  0  0.000000
104015  0.0  2.247000  100  12.060775  0  0  0  0  0.000000
104016  0.0  2.247000  100  11.952194  0  0  0  0  0.000000
104017  0.0  2.247000  100  11.799195  0  0  0  0  0.000000
104018  0.0  2.247000  100  11.701331  0  0  0  0  0.000000
104019  0.0  2.247000  100  11.579719  0  0  0  0  0.000000
104020  0.0  2.246000  100  11.399929  0  0  0  0  0.000000
104021  0.0  2.246000  100  11.315123  0  0  0  0  0.000000
104022  0.0  2.246000  100  11.203674  0  0  0  0  0.000000
104023  0.0  2.246000  100  10.842048  0  0  0  0  0.000000
104024  0.0  2.246000  100  10.735002  0  0  0  0  0.000000
104025  0.0  2.246000  100  10.605703  0  0  0  0  0.000000
104026  0.0  2.246000  100  10.445817  0  0  0  0  0.000000
104027  0.0  2.246000  100  10.308276  0  0  0  0  0.000000
104028  0.0  2.246000  100  10.213180  0  0  0  0  0.000000
104029  0.0  2.246000  100  10.079950  0  0  0  0  0.000000
104030  0.0  2.246000  100  9.959830  0  0  0  0  0.000000
104031  0.0  2.246000  100  9.816348  0  0  0  0  0.000000
104032  0.0  2.246000  100  9.729993  0  0  0  0  0.000000
104033  0.0  2.246000  100  9.548630  0  0  0  0  0.000000
104034  0.0  2.246000  100  9.241484  0  0  0  0  0.000000
104035  0.0  2.246000  100  9.089252  0  0  0  0  0.000000
104036  0.0  2.246000  100  8.982615  0  0  0  0  0.000000
104037  0.0  2.247000  100  8.853093  0  0  0  0  0.000000
104038  0.0  2.247000  100  8.685377  0  0  0  0  0.000000
104039  0.0  2.247000  100  8.631696  0  0  0  0  0.000000
104040  0.0  2.247000  100  8.507167  0  0  0  0  0.000000
104041  0.0  2.247000  100  8.409942  0  0  0  0  0.000000
104042  0.0  2.247000  100  8.249712  0  0  0  0  0.000000
104043  0.0  2.247000  100  8.098688  0  0  0  0  0.000000
104044  0.0  2.248000  100  7.975943  0  0  0  0  0.000000
104045  0.0  2.248000  100  8.030000  0  0  0  0  0.000000
104046  0.0  2.248000  100  7.900000  0  0  0  0  0.000000
104047  0.0  2.248000  100  7.770000  0  0  0  0  0.000000
104048  0.0  2.249000  100  7.650000  0  0  0  0  0.000000
104049  0.0  2.249000  100  7.520000  0  0  0  0  0.000000
104050  0.0  2.249000  100  7.084515  0  0  0  0  0.000000
104051  0.0  2.249000  100  7.270000  0  0  0  0  0.000000
104052  0.0  2.250000  100  7.140000  0  0  0  0  0.000000
104053  0.0  2.250000  100  4.301508  0  0  0  0  0.000000
104054  0.0  2.250000  100  6.880000  0  0  0  0  0.000000
104055  0.0  2.251000  100  6.760000  0  0  0  0  0.000000
  201200       0.0       0.25   100      90.0    0    0    0    0    0
