NUMBER OF DETECTORS, NUMBER OF USER TABLE PARAMETERS/DETECTOR                   
438                  6
DET NO DELAY(MMS) LEN(M)   CODE    2THETA      UT1       UT2       UT3       UT4       UT5       UT6
     1     -0.8  -4.2500   2000   180.0000   2.00000   0.00244  44.00000   0.00100   0.05000   0.00000
     2     -0.8  -3.7500   2000   180.0000   2.00000   0.00244  44.00000   0.00100   0.05000   0.00000
     3     -0.8   2.5300   2000     0.0100   2.00000   0.00244  44.00000   0.00100   0.05000   0.00000
     4     -0.8  -1.0000   2000   180.0000   2.00000   0.00244  44.00000   0.00100   0.05000   0.00000
     5      4.4   0.6333   1000   159.7800   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
     6      4.4   0.6557   1000   157.7900   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
     7      4.4   0.6746   1000   155.9100   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
     8      4.4   0.6949   1000   154.1300   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
     9      4.4   0.7126   1000   152.4500   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    10      4.4   0.7334   1000   150.8600   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    11      4.4   0.7546   1000   149.3500   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    12      4.4   0.7766   1000   147.9200   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    13      4.4   0.7981   1000   146.5700   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    14      4.4   0.8195   1000   145.3000   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    15      4.4   0.8428   1000   144.0900   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    16      4.4   0.8670   1000   142.9400   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    17      4.4   0.8914   1000   141.8600   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    18      4.4   0.9149   1000   140.8200   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    19      4.4   0.9384   1000   139.8500   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    20      4.4   0.9637   1000   138.9200   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    21      4.4   0.9896   1000   138.0300   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    22      4.4   1.0146   1000   137.1900   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    23      4.4   1.0399   1000   136.3900   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    24      4.4   1.0657   1000   135.6200   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    25      4.4   1.0920   1000   134.8900   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    26      4.4   1.1170   1000   134.2000   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
    27      4.4   1.1441   1000   133.5300   1.00000   1.25000  10.00000   0.00500   2.50000   0.00000
