           1          39
           2          18
           3          16
           4          14
           5          13
           6          12
           7          12
           8          11
           9          13
          10           7
          11           1
          12           4
          13           8
          14          10
          15           8
          16           7
          17           7
          18           7
          19           7
          20           7
          21           7
          22           0
          23           5
          24           4
          25           4
          26           3
          27           3
          28           4
          29           2
          30           2
          31           2
          32           2
          33           0
