        1       88.000      217.000
        2       78.000      166.000
        3       49.000      165.000
        4       60.000      141.000
        5       61.000      133.000
        6       52.000      107.000
        7       39.000      108.000
        8       28.000      100.000
        9       24.000       89.000
       10       34.000       82.000
       11       22.000       72.000
       12       19.000       66.000
       13       23.000       70.000
       14       17.000       51.000
       15       17.000       46.000
       16       11.000       52.000
       17       10.000       52.000
       18       11.000       48.000
       19       11.000       47.000
       20       12.000       51.000
       21       11.000       45.000
       22        8.000       32.000
       23        9.000       42.000
       24        8.000       57.000
       25        7.000       45.000
       26       10.000       41.000
       27        1.000        1.000
       28        1.000        0.000
       29        0.000        1.000
       30        0.000        1.000
       31        0.000        0.000
       32        2.000        1.000
       33        0.000        3.000
       34        0.000        1.000
       35        0.000        3.000
       36        0.000        1.000
       37        0.000        0.000
       38        0.000        1.000
       39        0.000        0.000
       40        0.000        0.000
       41        0.000        1.000
       42        1.000        1.000
       43        0.000        1.000
       44        0.000        1.000
       45        0.000        2.000
       46        0.000        0.000
       47        0.000        1.000
       48        1.000        0.000
       49        1.000        1.000
       50        1.000        1.000
       51        0.000        2.000
       52        0.000        3.000
       53        0.000        1.000
       54        0.000        1.000
       55        0.000        1.000
       56        0.000        1.000
       57        1.000        0.000
       58        0.000        0.000
       59        0.000        1.000
       60        0.000        0.000
       61        0.000        2.000
       62        1.000        0.000
       63        0.000        0.000
       64        0.000        2.000
       65        0.000        0.000
       66        0.000        1.000
       67        0.000        2.000
       68        0.000        0.000
       69        1.000        0.000
       70        0.000        1.000
       71        0.000        0.000
       72        0.000        1.000
       73        0.000        1.000
       74        0.000        1.000
       75        0.000        1.000
       76        0.000        2.000
       77        1.000        1.000
       78        0.000        1.000
       79        0.000        2.000
       80        0.000        2.000
       81        1.000        1.000
       82        0.000        0.000
       83        0.000        0.000
       84        0.000        3.000
       85        0.000        3.000
       86        1.000        1.000
       87        0.000        0.000
       88        0.000        2.000
       89        0.000        4.000
       90        1.000        0.000
       91        0.000        0.000
       92        0.000        2.000
       93        1.000        3.000
       94        0.000        2.000
       95        0.000        2.000
       96        1.000        3.000
       97        0.000        1.000
       98        0.000        1.000
       99        0.000        0.000
      100        2.000        2.000
      101        0.000        4.000
      102        0.000        2.000
      103        0.000        0.000
      104        0.000        0.000
      105        0.000        0.000
      106        0.000        0.000
      107        0.000        1.000
      108        0.000        1.000
      109        0.000        2.000
      110        1.000        4.000
      111        0.000        0.000
      112        0.000        0.000
      113        0.000        3.000
      114        0.000        3.000
      115        0.000        2.000
      116        1.000        0.000
      117        0.000        1.000
      118        1.000        1.000
      119        0.000        2.000
      120        1.000        0.000
      121        2.000        2.000
      122        0.000        0.000
      123        0.000        1.000
      124        1.000        0.000
      125        0.000        2.000
      126        0.000        0.000
      127        0.000        3.000
      128        0.000        1.000
      129        0.000        2.000
      130        0.000        3.000
      131        1.000        1.000
      132        0.000        3.000
      133        1.000        3.000
      134        1.000        1.000
      135        0.000        2.000
      136        1.000        1.000
      137        0.000        2.000
      138        0.000        1.000
      139        0.000        0.000
      140        1.000        0.000
      141        1.000        1.000
      142        0.000        2.000
      143        0.000        1.000
      144        0.000        2.000
      145        0.000        0.000
      146        0.000        1.000
      147        0.000        2.000
      148        0.000        3.000
      149        0.000        1.000
      150        0.000        2.000
      151        0.000        1.000
      152        0.000        3.000
      153        0.000        0.000
      154        1.000        0.000
      155        2.000        2.000
      156        1.000        2.000
      157        0.000        3.000
      158        0.000        2.000
      159        0.000        0.000
      160        0.000        2.000
      161        1.000        1.000
      162        0.000        2.000
      163        0.000        0.000
      164        0.000        0.000
      165        2.000        1.000
      166        0.000        2.000
      167        0.000        3.000
      168        1.000        2.000
      169        1.000        1.000
      170        0.000        2.000
      171        1.000        0.000
      172        1.000        3.000
      173        1.000        0.000
      174        1.000        0.000
      175        0.000        1.000
      176        0.000        2.000
      177        1.000        1.000
      178        0.000        4.000
      179        0.000        0.000
      180        0.000        1.000
      181        0.000        1.000
      182        0.000        1.000
      183        1.000        1.000
      184        0.000        1.000
      185        1.000        1.000
      186        0.000        0.000
      187        0.000        1.000
      188        0.000        2.000
      189        2.000        1.000
      190        0.000        2.000
      191        0.000        0.000
      192        0.000        1.000
      193        0.000        1.000
      194        1.000        1.000
      195        0.000        1.000
      196        0.000        0.000
      197        0.000        0.000
