Number of detectors, Number of user table parameters/detector                   
6284 6
Det# 	Delta	L2	Code 2theta  dcode eff_fac effc  res      dtime   phi            
501061  -1.00   1.3832  900   91.372  2.0  1.25000  1.0  0.00550  3.00   39.600
501062  -1.00   1.3755  900   91.377  2.0  1.25000  1.0  0.00550  3.00   39.600
501063  -1.00   1.3832  900   91.039  2.0  1.25000  1.0  0.00550  3.00   39.600
501064  -1.00   1.3755  900   90.887  2.0  1.25000  1.0  0.00550  3.00   39.600
501065  -1.00   1.3832  900   90.621  2.0  1.25000  1.0  0.00550  3.00   39.600
501066  -1.00   1.3755  900   90.463  2.0  1.25000  1.0  0.00550  3.00   39.600
501067  -1.00   1.3832  900   90.194  2.0  1.25000  1.0  0.00550  3.00   39.600
501068  -1.00   1.3755  900   90.039  2.0  1.25000  1.0  0.00550  3.00   39.600
501069  -1.00   1.3832  900   89.782  2.0  1.25000  1.0  0.00550  3.00   39.600
501070  -1.00   1.3755  900   89.626  2.0  1.25000  1.0  0.00550  3.00   39.600
501071  -1.00   1.3832  900   89.290  2.0  1.25000  1.0  0.00550  3.00   39.600
501072  -1.00   1.3755  900   89.290  2.0  1.25000  1.0  0.00550  3.00   39.600
501073  -1.00   1.3832  900   88.954  2.0  1.25000  1.0  0.00550  3.00   39.600
501074  -1.00   1.3755  900   88.794  2.0  1.25000  1.0  0.00550  3.00   39.600
501075  -1.00   1.3832  900   88.558  2.0  1.25000  1.0  0.00550  3.00   39.600
501076  -1.00   1.3755  900   88.393  2.0  1.25000  1.0  0.00550  3.00   39.600
501077  -1.00   1.3832  900   88.140  2.0  1.25000  1.0  0.00550  3.00   39.600
501078  -1.00   1.3755  900   87.975  2.0  1.25000  1.0  0.00550  3.00   39.600
501079  -1.00   1.3832  900   87.716  2.0  1.25000  1.0  0.00550  3.00   39.600
501080  -1.00   1.3755  900   87.434  2.0  1.25000  1.0  0.00550  3.00   39.600
501081  -1.00   1.3832  900   87.424  2.0  1.25000  1.0  0.00550  3.00   39.600
501082  -1.00   1.3755  900   87.132  2.0  1.25000  1.0  0.00550  3.00   39.600
501083  -1.00   1.3832  900   86.871  2.0  1.25000  1.0  0.00550  3.00   39.600
501084  -1.00   1.3755  900   86.717  2.0  1.25000  1.0  0.00550  3.00   39.600
501085  -1.00   1.3832  900   86.477  2.0  1.25000  1.0  0.00550  3.00   39.600
501086  -1.00   1.3755  900   86.306  2.0  1.25000  1.0  0.00550  3.00   39.600
501087  -1.00   1.3832  900   86.056  2.0  1.25000  1.0  0.00550  3.00   39.600
501088  -1.00   1.3755  900   85.773  2.0  1.25000  1.0  0.00550  3.00   39.600
501089  -1.00   1.3832  900   85.756  2.0  1.25000  1.0  0.00550  3.00   39.600
501090  -1.00   1.3755  900   85.477  2.0  1.25000  1.0  0.00550  3.00   39.600
501091  -1.00   1.3832  900   85.223  2.0  1.25000  1.0  0.00550  3.00   39.600
501092  -1.00   1.3755  900   85.065  2.0  1.25000  1.0  0.00550  3.00   39.600
501093  -1.00   1.3832  900   84.817  2.0  1.25000  1.0  0.00550  3.00   39.600
501094  -1.00   1.3755  900   84.653  2.0  1.25000  1.0  0.00550  3.00   39.600
501095  -1.00   1.3832  900   84.310  2.0  1.25000  1.0  0.00550  3.00   39.600
501096  -1.00   1.3755  900   84.319  2.0  1.25000  1.0  0.00550  3.00   39.600
501097  -1.00   1.3832  900   83.977  2.0  1.25000  1.0  0.00550  3.00   39.600
501098  -1.00   1.3755  900   83.823  2.0  1.25000  1.0  0.00550  3.00   39.600
501099  -1.00   1.3832  900   83.571  2.0  1.25000  1.0  0.00550  3.00   39.600
501100  -1.00   1.3755  900   83.402  2.0  1.25000  1.0  0.00550  3.00   39.600
501101  -1.00   1.3832  900   83.068  2.0  1.25000  1.0  0.00550  3.00   39.600
501102  -1.00   1.3755  900   83.062  2.0  1.25000  1.0  0.00550  3.00   39.600
501103  -1.00   1.3832  900   82.727  2.0  1.25000  1.0  0.00550  3.00   39.600
501104  -1.00   1.3755  900   82.552  2.0  1.25000  1.0  0.00550  3.00   39.600
501105  -1.00   1.3832  900   82.309  2.0  1.25000  1.0  0.00550  3.00   39.600
501106  -1.00   1.3755  900   82.032  2.0  1.25000  1.0  0.00550  3.00   39.600
501107  -1.00   1.3832  900   82.027  2.0  1.25000  1.0  0.00550  3.00   39.600
501108  -1.00   1.3755  900   81.740  2.0  1.25000  1.0  0.00550  3.00   39.600
501109  -1.00   1.3832  900   81.495  2.0  1.25000  1.0  0.00550  3.00   39.600
501110  -1.00   1.3755  900   81.321  2.0  1.25000  1.0  0.00550  3.00   39.600
501111  -1.00   1.3832  900   81.078  2.0  1.25000  1.0  0.00550  3.00   39.600
501112  -1.00   1.3755  900   80.583  2.0  1.25000  1.0  0.00550  3.00   39.600
501113  -1.00   1.3832  900   80.375  2.0  1.25000  1.0  0.00550  3.00   39.600
501114  -1.00   1.3755  900   80.174  2.0  1.25000  1.0  0.00550  3.00   39.600
