Number of entries, Number of user table parameters                              
7891 6
Detector Delta      L2 Code   2theta dcode eff_fac effc      res dtime      phi 
101223  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101224  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101031  -1.00   2.3728  900   10.604  2.0  1.25000  1.0  0.00200  3.00   30.000
101032  -1.00   2.3665  900   10.964  2.0  1.25000  1.0  0.00200  3.00   30.000
101033  -1.00   2.3731  900   10.840  2.0  1.25000  1.0  0.00200  3.00   30.000
101034  -1.00   2.3669  900   11.200  2.0  1.25000  1.0  0.00200  3.00   30.000
101035  -1.00   2.3735  900   11.076  2.0  1.25000  1.0  0.00200  3.00   30.000
101225  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101226  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101227  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101228  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101229  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101230  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101036  -1.00   2.3674  900   11.437  2.0  1.25000  1.0  0.00200  3.00   30.000
101037  -1.00   2.3739  900   11.312  2.0  1.25000  1.0  0.00200  3.00   30.000
101038  -1.00   2.3678  900   11.673  2.0  1.25000  1.0  0.00200  3.00   30.000
101039  -1.00   2.3743  900   11.546  2.0  1.25000  1.0  0.00200  3.00   30.000
101231  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101232  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101233  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101234  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101235  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101236  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101040  -1.00   2.3684  900   11.909  2.0  1.25000  1.0  0.00200  3.00   30.000
101041  -1.00   2.3748  900   11.782  2.0  1.25000  1.0  0.00200  3.00   30.000
101042  -1.00   2.3689  900   12.145  2.0  1.25000  1.0  0.00200  3.00   30.000
101237  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101238  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101239  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101240  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101241  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101242  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101043  -1.00   2.3754  900   12.018  2.0  1.25000  1.0  0.00200  3.00   30.000
101044  -1.00   2.3695  900   12.381  2.0  1.25000  1.0  0.00200  3.00   30.000
101243  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101244  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101245  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101246  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101247  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101248  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101045  -1.00   2.3760  900   12.252  2.0  1.25000  1.0  0.00200  3.00   30.000
101249  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101250  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101251  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101252  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101253  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101254  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
