Number of detectors, Number of user table parameters/detector                   
6280 6
Det# Delta      L2      Code 2theta  dcode eff_fac effc  res      dtime  phi    
501061  -1.00   1.3832  900   91.389  2.0  1.25000  1.0  0.00550  3.00   39.600
501062  -1.00   1.3755  900   91.194  2.0  1.25000  1.0  0.00550  3.00   39.600
501063  -1.00   1.3832  900   90.976  2.0  1.25000  1.0  0.00550  3.00   39.600
501064  -1.00   1.3755  900   90.781  2.0  1.25000  1.0  0.00550  3.00   39.600
501065  -1.00   1.3832  900   90.553  2.0  1.25000  1.0  0.00550  3.00   39.600
501066  -1.00   1.3755  900   90.361  2.0  1.25000  1.0  0.00550  3.00   39.600
501067  -1.00   1.3832  900   90.147  2.0  1.25000  1.0  0.00550  3.00   39.600
501068  -1.00   1.3755  900   89.954  2.0  1.25000  1.0  0.00550  3.00   39.600
501069  -1.00   1.3832  900   89.732  2.0  1.25000  1.0  0.00550  3.00   39.600
501070  -1.00   1.3755  900   89.537  2.0  1.25000  1.0  0.00550  3.00   39.600
501071  -1.00   1.3832  900   89.319  2.0  1.25000  1.0  0.00550  3.00   39.600
501072  -1.00   1.3755  900   89.121  2.0  1.25000  1.0  0.00550  3.00   39.600
501073  -1.00   1.3832  900   88.902  2.0  1.25000  1.0  0.00550  3.00   39.600
501074  -1.00   1.3755  900   88.707  2.0  1.25000  1.0  0.00550  3.00   39.600
501075  -1.00   1.3832  900   88.494  2.0  1.25000  1.0  0.00550  3.00   39.600
501076  -1.00   1.3755  900   88.309  2.0  1.25000  1.0  0.00550  3.00   39.600
501077  -1.00   1.3832  900   88.090  2.0  1.25000  1.0  0.00550  3.00   39.600
501078  -1.00   1.3755  900   87.899  2.0  1.25000  1.0  0.00550  3.00   39.600
501079  -1.00   1.3832  900   87.676  2.0  1.25000  1.0  0.00550  3.00   39.600
501080  -1.00   1.3755  900   87.474  2.0  1.25000  1.0  0.00550  3.00   39.600
501081  -1.00   1.3832  900   87.241  2.0  1.25000  1.0  0.00550  3.00   39.600
501082  -1.00   1.3755  900   87.033  2.0  1.25000  1.0  0.00550  3.00   39.600
501083  -1.00   1.3832  900   86.826  2.0  1.25000  1.0  0.00550  3.00   39.600
501084  -1.00   1.3755  900   86.634  2.0  1.25000  1.0  0.00550  3.00   39.600
501085  -1.00   1.3832  900   86.422  2.0  1.25000  1.0  0.00550  3.00   39.600
501086  -1.00   1.3755  900   86.218  2.0  1.25000  1.0  0.00550  3.00   39.600
501087  -1.00   1.3832  900   86.005  2.0  1.25000  1.0  0.00550  3.00   39.600
501088  -1.00   1.3755  900   85.809  2.0  1.25000  1.0  0.00550  3.00   39.600
501089  -1.00   1.3832  900   85.589  2.0  1.25000  1.0  0.00550  3.00   39.600
501090  -1.00   1.3755  900   85.393  2.0  1.25000  1.0  0.00550  3.00   39.600
501091  -1.00   1.3832  900   85.175  2.0  1.25000  1.0  0.00550  3.00   39.600
501092  -1.00   1.3755  900   84.984  2.0  1.25000  1.0  0.00550  3.00   39.600
501093  -1.00   1.3832  900   84.768  2.0  1.25000  1.0  0.00550  3.00   39.600
501094  -1.00   1.3755  900   84.582  2.0  1.25000  1.0  0.00550  3.00   39.600
501095  -1.00   1.3832  900   84.361  2.0  1.25000  1.0  0.00550  3.00   39.600
501096  -1.00   1.3755  900   84.162  2.0  1.25000  1.0  0.00550  3.00   39.600
501097  -1.00   1.3832  900   83.949  2.0  1.25000  1.0  0.00550  3.00   39.600
501098  -1.00   1.3755  900   83.757  2.0  1.25000  1.0  0.00550  3.00   39.600
501099  -1.00   1.3832  900   83.531  2.0  1.25000  1.0  0.00550  3.00   39.600
501100  -1.00   1.3755  900   83.323  2.0  1.25000  1.0  0.00550  3.00   39.600
501101  -1.00   1.3832  900   83.099  2.0  1.25000  1.0  0.00550  3.00   39.600
501102  -1.00   1.3755  900   82.891  2.0  1.25000  1.0  0.00550  3.00   39.600
501103  -1.00   1.3832  900   82.679  2.0  1.25000  1.0  0.00550  3.00   39.600
501104  -1.00   1.3755  900   82.477  2.0  1.25000  1.0  0.00550  3.00   39.600
501105  -1.00   1.3832  900   82.264  2.0  1.25000  1.0  0.00550  3.00   39.600
501106  -1.00   1.3755  900   82.071  2.0  1.25000  1.0  0.00550  3.00   39.600
501107  -1.00   1.3832  900   81.860  2.0  1.25000  1.0  0.00550  3.00   39.600
501108  -1.00   1.3755  900   81.668  2.0  1.25000  1.0  0.00550  3.00   39.600
501109  -1.00   1.3832  900   81.445  2.0  1.25000  1.0  0.00550  3.00   39.600
501110  -1.00   1.3755  900   81.242  2.0  1.25000  1.0  0.00550  3.00   39.600
501111  -1.00   1.3832  900   81.030  2.0  1.25000  1.0  0.00550  3.00   39.600
501112  -1.00   1.3755  900   80.841  2.0  1.25000  1.0  0.00550  3.00   39.600
501113  -1.00   1.3832  900   80.626  2.0  1.25000  1.0  0.00550  3.00   39.600
501114  -1.00   1.3755  900   80.429  2.0  1.25000  1.0  0.00550  3.00   39.600
501115  -1.00   1.3832  900   80.210  2.0  1.25000  1.0  0.00550  3.00   39.600
501116  -1.00   1.3755  900   80.020  2.0  1.25000  1.0  0.00550  3.00   39.600
501117  -1.00   1.3832  900   79.805  2.0  1.25000  1.0  0.00550  3.00   39.600
501118  -1.00   1.3755  900   79.615  2.0  1.25000  1.0  0.00550  3.00   39.600
501119  -1.00   1.3832  900   79.381  2.0  1.25000  1.0  0.00550  3.00   39.600
501120  -1.00   1.3755  900   79.172  2.0  1.25000  1.0  0.00550  3.00   39.600
501201  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501202  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501203  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501204  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501205  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501206  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501207  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502200  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502001  -1.00   1.3832  900  103.891  2.0  1.25000  1.0  0.00550  3.00   29.700
502002  -1.00   1.3755  900  103.679  2.0  1.25000  1.0  0.00550  3.00   29.700
502003  -1.00   1.3832  900  103.460  2.0  1.25000  1.0  0.00550  3.00   29.700
502004  -1.00   1.3755  900  103.261  2.0  1.25000  1.0  0.00550  3.00   29.700
502005  -1.00   1.3832  900  103.039  2.0  1.25000  1.0  0.00550  3.00   29.700
502006  -1.00   1.3755  900  102.848  2.0  1.25000  1.0  0.00550  3.00   29.700
502007  -1.00   1.3832  900  102.631  2.0  1.25000  1.0  0.00550  3.00   29.700
502008  -1.00   1.3755  900  102.437  2.0  1.25000  1.0  0.00550  3.00   29.700
502009  -1.00   1.3832  900  102.208  2.0  1.25000  1.0  0.00550  3.00   29.700
502010  -1.00   1.3755  900  102.018  2.0  1.25000  1.0  0.00550  3.00   29.700
502011  -1.00   1.3832  900  101.792  2.0  1.25000  1.0  0.00550  3.00   29.700
502012  -1.00   1.3755  900  101.593  2.0  1.25000  1.0  0.00550  3.00   29.700
502013  -1.00   1.3832  900  101.369  2.0  1.25000  1.0  0.00550  3.00   29.700
502014  -1.00   1.3755  900  101.178  2.0  1.25000  1.0  0.00550  3.00   29.700
502015  -1.00   1.3832  900  100.957  2.0  1.25000  1.0  0.00550  3.00   29.700
502016  -1.00   1.3755  900  100.762  2.0  1.25000  1.0  0.00550  3.00   29.700
502017  -1.00   1.3832  900  100.540  2.0  1.25000  1.0  0.00550  3.00   29.700
502018  -1.00   1.3755  900  100.353  2.0  1.25000  1.0  0.00550  3.00   29.700
502019  -1.00   1.3832  900  100.130  2.0  1.25000  1.0  0.00550  3.00   29.700
502020  -1.00   1.3755  900   99.942  2.0  1.25000  1.0  0.00550  3.00   29.700
502021  -1.00   1.3832  900   99.716  2.0  1.25000  1.0  0.00550  3.00   29.700
502022  -1.00   1.3755  900   99.514  2.0  1.25000  1.0  0.00550  3.00   29.700
502023  -1.00   1.3832  900   99.295  2.0  1.25000  1.0  0.00550  3.00   29.700
502024  -1.00   1.3755  900   99.102  2.0  1.25000  1.0  0.00550  3.00   29.700
502025  -1.00   1.3832  900   98.881  2.0  1.25000  1.0  0.00550  3.00   29.700
502026  -1.00   1.3755  900   98.688  2.0  1.25000  1.0  0.00550  3.00   29.700
502027  -1.00   1.3832  900   98.468  2.0  1.25000  1.0  0.00550  3.00   29.700
502028  -1.00   1.3755  900   98.279  2.0  1.25000  1.0  0.00550  3.00   29.700
502029  -1.00   1.3832  900   98.048  2.0  1.25000  1.0  0.00550  3.00   29.700
502030  -1.00   1.3755  900   97.855  2.0  1.25000  1.0  0.00550  3.00   29.700
502031  -1.00   1.3832  900   97.637  2.0  1.25000  1.0  0.00550  3.00   29.700
502032  -1.00   1.3755  900   97.444  2.0  1.25000  1.0  0.00550  3.00   29.700
502033  -1.00   1.3832  900   97.225  2.0  1.25000  1.0  0.00550  3.00   29.700
502034  -1.00   1.3755  900   97.033  2.0  1.25000  1.0  0.00550  3.00   29.700
502035  -1.00   1.3832  900   96.805  2.0  1.25000  1.0  0.00550  3.00   29.700
502036  -1.00   1.3755  900   96.600  2.0  1.25000  1.0  0.00550  3.00   29.700
502037  -1.00   1.3832  900   96.388  2.0  1.25000  1.0  0.00550  3.00   29.700
502038  -1.00   1.3755  900   96.199  2.0  1.25000  1.0  0.00550  3.00   29.700
502039  -1.00   1.3832  900   95.975  2.0  1.25000  1.0  0.00550  3.00   29.700
502040  -1.00   1.3755  900   95.771  2.0  1.25000  1.0  0.00550  3.00   29.700
502041  -1.00   1.3832  900   95.552  2.0  1.25000  1.0  0.00550  3.00   29.700
502042  -1.00   1.3755  900   95.357  2.0  1.25000  1.0  0.00550  3.00   29.700
502043  -1.00   1.3832  900   95.140  2.0  1.25000  1.0  0.00550  3.00   29.700
502044  -1.00   1.3755  900   94.947  2.0  1.25000  1.0  0.00550  3.00   29.700
502045  -1.00   1.3832  900   94.726  2.0  1.25000  1.0  0.00550  3.00   29.700
502046  -1.00   1.3755  900   94.523  2.0  1.25000  1.0  0.00550  3.00   29.700
502047  -1.00   1.3832  900   94.308  2.0  1.25000  1.0  0.00550  3.00   29.700
502048  -1.00   1.3755  900   94.116  2.0  1.25000  1.0  0.00550  3.00   29.700
502049  -1.00   1.3832  900   93.898  2.0  1.25000  1.0  0.00550  3.00   29.700
502050  -1.00   1.3755  900   93.708  2.0  1.25000  1.0  0.00550  3.00   29.700
502051  -1.00   1.3832  900   93.489  2.0  1.25000  1.0  0.00550  3.00   29.700
502052  -1.00   1.3755  900   93.291  2.0  1.25000  1.0  0.00550  3.00   29.700
502053  -1.00   1.3832  900   93.061  2.0  1.25000  1.0  0.00550  3.00   29.700
502054  -1.00   1.3755  900   92.862  2.0  1.25000  1.0  0.00550  3.00   29.700
502055  -1.00   1.3832  900   92.645  2.0  1.25000  1.0  0.00550  3.00   29.700
502056  -1.00   1.3755  900   92.449  2.0  1.25000  1.0  0.00550  3.00   29.700
502057  -1.00   1.3832  900   92.227  2.0  1.25000  1.0  0.00550  3.00   29.700
502058  -1.00   1.3755  900   92.034  2.0  1.25000  1.0  0.00550  3.00   29.700
502059  -1.00   1.3832  900   91.818  2.0  1.25000  1.0  0.00550  3.00   29.700
502060  -1.00   1.3755  900   91.623  2.0  1.25000  1.0  0.00550  3.00   29.700
502061  -1.00   1.3832  900   91.396  2.0  1.25000  1.0  0.00550  3.00   29.700
502062  -1.00   1.3755  900   91.194  2.0  1.25000  1.0  0.00550  3.00   29.700
502063  -1.00   1.3832  900   90.974  2.0  1.25000  1.0  0.00550  3.00   29.700
502064  -1.00   1.3755  900   90.784  2.0  1.25000  1.0  0.00550  3.00   29.700
502065  -1.00   1.3832  900   90.561  2.0  1.25000  1.0  0.00550  3.00   29.700
502066  -1.00   1.3755  900   90.370  2.0  1.25000  1.0  0.00550  3.00   29.700
502067  -1.00   1.3832  900   90.144  2.0  1.25000  1.0  0.00550  3.00   29.700
502068  -1.00   1.3755  900   89.945  2.0  1.25000  1.0  0.00550  3.00   29.700
502069  -1.00   1.3832  900   89.727  2.0  1.25000  1.0  0.00550  3.00   29.700
502070  -1.00   1.3755  900   89.546  2.0  1.25000  1.0  0.00550  3.00   29.700
502071  -1.00   1.3832  900   89.326  2.0  1.25000  1.0  0.00550  3.00   29.700
502072  -1.00   1.3755  900   89.126  2.0  1.25000  1.0  0.00550  3.00   29.700
502073  -1.00   1.3832  900   88.912  2.0  1.25000  1.0  0.00550  3.00   29.700
502074  -1.00   1.3755  900   88.726  2.0  1.25000  1.0  0.00550  3.00   29.700
502075  -1.00   1.3832  900   88.498  2.0  1.25000  1.0  0.00550  3.00   29.700
502076  -1.00   1.3755  900   88.307  2.0  1.25000  1.0  0.00550  3.00   29.700
502077  -1.00   1.3832  900   88.084  2.0  1.25000  1.0  0.00550  3.00   29.700
502078  -1.00   1.3755  900   87.906  2.0  1.25000  1.0  0.00550  3.00   29.700
502079  -1.00   1.3832  900   87.676  2.0  1.25000  1.0  0.00550  3.00   29.700
502080  -1.00   1.3755  900   87.466  2.0  1.25000  1.0  0.00550  3.00   29.700
502081  -1.00   1.3832  900   87.242  2.0  1.25000  1.0  0.00550  3.00   29.700
502082  -1.00   1.3755  900   87.041  2.0  1.25000  1.0  0.00550  3.00   29.700
502083  -1.00   1.3832  900   86.816  2.0  1.25000  1.0  0.00550  3.00   29.700
502084  -1.00   1.3755  900   86.629  2.0  1.25000  1.0  0.00550  3.00   29.700
502085  -1.00   1.3832  900   86.413  2.0  1.25000  1.0  0.00550  3.00   29.700
502086  -1.00   1.3755  900   86.219  2.0  1.25000  1.0  0.00550  3.00   29.700
502087  -1.00   1.3832  900   86.006  2.0  1.25000  1.0  0.00550  3.00   29.700
502088  -1.00   1.3755  900   85.813  2.0  1.25000  1.0  0.00550  3.00   29.700
502089  -1.00   1.3832  900   85.587  2.0  1.25000  1.0  0.00550  3.00   29.700
502090  -1.00   1.3755  900   85.394  2.0  1.25000  1.0  0.00550  3.00   29.700
502091  -1.00   1.3832  900   85.178  2.0  1.25000  1.0  0.00550  3.00   29.700
502092  -1.00   1.3755  900   84.990  2.0  1.25000  1.0  0.00550  3.00   29.700
502093  -1.00   1.3832  900   84.761  2.0  1.25000  1.0  0.00550  3.00   29.700
502094  -1.00   1.3755  900   84.570  2.0  1.25000  1.0  0.00550  3.00   29.700
502095  -1.00   1.3832  900   84.359  2.0  1.25000  1.0  0.00550  3.00   29.700
502096  -1.00   1.3755  900   84.168  2.0  1.25000  1.0  0.00550  3.00   29.700
502097  -1.00   1.3832  900   83.946  2.0  1.25000  1.0  0.00550  3.00   29.700
502098  -1.00   1.3755  900   83.740  2.0  1.25000  1.0  0.00550  3.00   29.700
502099  -1.00   1.3832  900   83.517  2.0  1.25000  1.0  0.00550  3.00   29.700
502100  -1.00   1.3755  900   83.326  2.0  1.25000  1.0  0.00550  3.00   29.700
502101  -1.00   1.3832  900   83.093  2.0  1.25000  1.0  0.00550  3.00   29.700
502102  -1.00   1.3755  900   82.898  2.0  1.25000  1.0  0.00550  3.00   29.700
502103  -1.00   1.3832  900   82.681  2.0  1.25000  1.0  0.00550  3.00   29.700
502104  -1.00   1.3755  900   82.488  2.0  1.25000  1.0  0.00550  3.00   29.700
502105  -1.00   1.3832  900   82.266  2.0  1.25000  1.0  0.00550  3.00   29.700
502106  -1.00   1.3755  900   82.070  2.0  1.25000  1.0  0.00550  3.00   29.700
502107  -1.00   1.3832  900   81.849  2.0  1.25000  1.0  0.00550  3.00   29.700
502108  -1.00   1.3755  900   81.661  2.0  1.25000  1.0  0.00550  3.00   29.700
502109  -1.00   1.3832  900   81.443  2.0  1.25000  1.0  0.00550  3.00   29.700
502110  -1.00   1.3755  900   81.239  2.0  1.25000  1.0  0.00550  3.00   29.700
502111  -1.00   1.3832  900   81.027  2.0  1.25000  1.0  0.00550  3.00   29.700
502112  -1.00   1.3755  900   80.837  2.0  1.25000  1.0  0.00550  3.00   29.700
502113  -1.00   1.3832  900   80.624  2.0  1.25000  1.0  0.00550  3.00   29.700
502114  -1.00   1.3755  900   80.430  2.0  1.25000  1.0  0.00550  3.00   29.700
502115  -1.00   1.3832  900   80.215  2.0  1.25000  1.0  0.00550  3.00   29.700
502116  -1.00   1.3755  900   80.017  2.0  1.25000  1.0  0.00550  3.00   29.700
502117  -1.00   1.3832  900   79.794  2.0  1.25000  1.0  0.00550  3.00   29.700
502118  -1.00   1.3755  900   79.587  2.0  1.25000  1.0  0.00550  3.00   29.700
502119  -1.00   1.3832  900   79.366  2.0  1.25000  1.0  0.00550  3.00   29.700
502120  -1.00   1.3755  900   79.165  2.0  1.25000  1.0  0.00550  3.00   29.700
502201  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502202  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502203  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502204  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502205  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502206  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502207  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
503200  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
503001  -1.00   1.3832  900  103.871  2.0  1.25000  1.0  0.00550  3.00   19.800
503002  -1.00   1.3755  900  103.669  2.0  1.25000  1.0  0.00550  3.00   19.800
503003  -1.00   1.3832  900  103.443  2.0  1.25000  1.0  0.00550  3.00   19.800
503004  -1.00   1.3755  900  103.242  2.0  1.25000  1.0  0.00550  3.00   19.800
503005  -1.00   1.3832  900  103.014  2.0  1.25000  1.0  0.00550  3.00   19.800
503006  -1.00   1.3755  900  102.814  2.0  1.25000  1.0  0.00550  3.00   19.800
503007  -1.00   1.3832  900  102.590  2.0  1.25000  1.0  0.00550  3.00   19.800
503008  -1.00   1.3755  900  102.396  2.0  1.25000  1.0  0.00550  3.00   19.800
503009  -1.00   1.3832  900  102.178  2.0  1.25000  1.0  0.00550  3.00   19.800
503010  -1.00   1.3755  900  101.986  2.0  1.25000  1.0  0.00550  3.00   19.800
503011  -1.00   1.3832  900  101.765  2.0  1.25000  1.0  0.00550  3.00   19.800
503012  -1.00   1.3755  900  101.572  2.0  1.25000  1.0  0.00550  3.00   19.800
503013  -1.00   1.3832  900  101.359  2.0  1.25000  1.0  0.00550  3.00   19.800
503014  -1.00   1.3755  900  101.161  2.0  1.25000  1.0  0.00550  3.00   19.800
503015  -1.00   1.3832  900  100.937  2.0  1.25000  1.0  0.00550  3.00   19.800
503016  -1.00   1.3755  900  100.756  2.0  1.25000  1.0  0.00550  3.00   19.800
503017  -1.00   1.3832  900  100.529  2.0  1.25000  1.0  0.00550  3.00   19.800
503018  -1.00   1.3755  900  100.336  2.0  1.25000  1.0  0.00550  3.00   19.800
503019  -1.00   1.3832  900  100.110  2.0  1.25000  1.0  0.00550  3.00   19.800
503020  -1.00   1.3755  900   99.909  2.0  1.25000  1.0  0.00550  3.00   19.800
503021  -1.00   1.3832  900   99.671  2.0  1.25000  1.0  0.00550  3.00   19.800
503022  -1.00   1.3755  900   99.474  2.0  1.25000  1.0  0.00550  3.00   19.800
503023  -1.00   1.3832  900   99.262  2.0  1.25000  1.0  0.00550  3.00   19.800
503024  -1.00   1.3755  900   99.073  2.0  1.25000  1.0  0.00550  3.00   19.800
503025  -1.00   1.3832  900   98.848  2.0  1.25000  1.0  0.00550  3.00   19.800
503026  -1.00   1.3755  900   98.642  2.0  1.25000  1.0  0.00550  3.00   19.800
503027  -1.00   1.3832  900   98.422  2.0  1.25000  1.0  0.00550  3.00   19.800
503028  -1.00   1.3755  900   98.247  2.0  1.25000  1.0  0.00550  3.00   19.800
503029  -1.00   1.3832  900   98.028  2.0  1.25000  1.0  0.00550  3.00   19.800
503030  -1.00   1.3755  900   97.825  2.0  1.25000  1.0  0.00550  3.00   19.800
503031  -1.00   1.3832  900   97.605  2.0  1.25000  1.0  0.00550  3.00   19.800
503032  -1.00   1.3755  900   97.415  2.0  1.25000  1.0  0.00550  3.00   19.800
503033  -1.00   1.3832  900   97.190  2.0  1.25000  1.0  0.00550  3.00   19.800
503034  -1.00   1.3755  900   96.985  2.0  1.25000  1.0  0.00550  3.00   19.800
503035  -1.00   1.3832  900   96.767  2.0  1.25000  1.0  0.00550  3.00   19.800
503036  -1.00   1.3755  900   96.568  2.0  1.25000  1.0  0.00550  3.00   19.800
503037  -1.00   1.3832  900   96.346  2.0  1.25000  1.0  0.00550  3.00   19.800
503038  -1.00   1.3755  900   96.152  2.0  1.25000  1.0  0.00550  3.00   19.800
503039  -1.00   1.3832  900   95.929  2.0  1.25000  1.0  0.00550  3.00   19.800
503040  -1.00   1.3755  900   95.732  2.0  1.25000  1.0  0.00550  3.00   19.800
503041  -1.00   1.3832  900   95.512  2.0  1.25000  1.0  0.00550  3.00   19.800
503042  -1.00   1.3755  900   95.311  2.0  1.25000  1.0  0.00550  3.00   19.800
503043  -1.00   1.3832  900   95.090  2.0  1.25000  1.0  0.00550  3.00   19.800
