Number of entries, Number of user table parameters                              
        9870           6
Detector Delta      L2 Code   2theta dcode eff_fac effc      res dtime      phi 
821018  -1.00   2.7661  900    2.976  2.0  1.25000  1.0   0.00550  3.00  -90.000
821019  -1.00   2.7603  900    3.086  2.0  1.25000  1.0   0.00550  3.00  -90.000
821020  -1.00   2.7666  900    3.184  2.0  1.25000  1.0   0.00550  3.00  -90.000
831001  -1.00   2.7570  900    1.210  2.0  1.25000  1.0   0.00550  3.00  180.000
831002  -1.00   2.7631  900    1.313  2.0  1.25000  1.0   0.00550  3.00  180.000
831003  -1.00   2.7572  900    1.419  2.0  1.25000  1.0   0.00550  3.00  180.000
831004  -1.00   2.7634  900    1.520  2.0  1.25000  1.0   0.00550  3.00  180.000
831005  -1.00   2.7575  900    1.627  2.0  1.25000  1.0   0.00550  3.00  180.000
831006  -1.00   2.7636  900    1.729  2.0  1.25000  1.0   0.00550  3.00  180.000
831007  -1.00   2.7578  900    1.836  2.0  1.25000  1.0   0.00550  3.00  180.000
831008  -1.00   2.7640  900    1.936  2.0  1.25000  1.0   0.00550  3.00  180.000
831009  -1.00   2.7581  900    2.045  2.0  1.25000  1.0   0.00550  3.00  180.000
831010  -1.00   2.7643  900    2.145  2.0  1.25000  1.0   0.00550  3.00  180.000
831011  -1.00   2.7585  900    2.253  2.0  1.25000  1.0   0.00550  3.00  180.000
831012  -1.00   2.7647  900    2.352  2.0  1.25000  1.0   0.00550  3.00  180.000
831013  -1.00   2.7589  900    2.462  2.0  1.25000  1.0   0.00550  3.00  180.000
831014  -1.00   2.7651  900    2.560  2.0  1.25000  1.0   0.00550  3.00  180.000
831015  -1.00   2.7593  900    2.670  2.0  1.25000  1.0   0.00550  3.00  180.000
831016  -1.00   2.7656  900    2.769  2.0  1.25000  1.0   0.00550  3.00  180.000
831017  -1.00   2.7598  900    2.879  2.0  1.25000  1.0   0.00550  3.00  180.000
831018  -1.00   2.7661  900    2.976  2.0  1.25000  1.0   0.00550  3.00  180.000
831019  -1.00   2.7603  900    3.086  2.0  1.25000  1.0   0.00550  3.00  180.000
831020  -1.00   2.7666  900    3.184  2.0  1.25000  1.0   0.00550  3.00  180.000
101001  -1.00   2.3653  900    7.096  2.0  1.25000  1.0   0.00200  3.00   30.000
101002  -1.00   2.3731  900    7.576  2.0  1.25000  1.0   0.00200  3.00   30.000
101003  -1.00   2.3653  900    7.552  2.0  1.25000  1.0   0.00200  3.00   30.000
101004  -1.00   2.3731  900    7.693  2.0  1.25000  1.0   0.00200  3.00   30.000
101005  -1.00   2.3653  900    8.022  2.0  1.25000  1.0   0.00200  3.00   30.000
101006  -1.00   2.3731  900    7.668  2.0  1.25000  1.0   0.00200  3.00   30.000
101007  -1.00   2.3653  900    7.369  2.0  1.25000  1.0   0.00200  3.00   30.000
101008  -1.00   2.3731  900    8.156  2.0  1.25000  1.0   0.00200  3.00   30.000
101009  -1.00   2.3653  900    8.153  2.0  1.25000  1.0   0.00200  3.00   30.000
101010  -1.00   2.3731  900    9.100  2.0  1.25000  1.0   0.00200  3.00   30.000
101011  -1.00   2.3653  900    8.518  2.0  1.25000  1.0   0.00200  3.00   30.000
101012  -1.00   2.3731  900    7.980  2.0  1.25000  1.0   0.00200  3.00   30.000
101013  -1.00   2.3653  900    9.076  2.0  1.25000  1.0   0.00200  3.00   30.000
101014  -1.00   2.3731  900    8.247  2.0  1.25000  1.0   0.00200  3.00   30.000
101015  -1.00   2.3653  900    8.431  2.0  1.25000  1.0   0.00200  3.00   30.000
101016  -1.00   2.3731  900    8.961  2.0  1.25000  1.0   0.00200  3.00   30.000
101017  -1.00   2.3653  900    9.142  2.0  1.25000  1.0   0.00200  3.00   30.000
101018  -1.00   2.3731  900    9.575  2.0  1.25000  1.0   0.00200  3.00   30.000
101019  -1.00   2.3653  900    9.360  2.0  1.25000  1.0   0.00200  3.00   30.000
101020  -1.00   2.3731  900    9.088  2.0  1.25000  1.0   0.00200  3.00   30.000
101021  -1.00   2.3653  900    9.518  2.0  1.25000  1.0   0.00200  3.00   30.000
101022  -1.00   2.3731  900   10.701  2.0  1.25000  1.0   0.00200  3.00   30.000
101023  -1.00   2.3653  900    9.899  2.0  1.25000  1.0   0.00200  3.00   30.000
101024  -1.00   2.3731  900    9.963  2.0  1.25000  1.0   0.00200  3.00   30.000
101025  -1.00   2.3653  900   10.980  2.0  1.25000  1.0   0.00200  3.00   30.000
101026  -1.00   2.3731  900   10.564  2.0  1.25000  1.0   0.00200  3.00   30.000
101027  -1.00   2.3653  900   11.491  2.0  1.25000  1.0   0.00200  3.00   30.000
101028  -1.00   2.3731  900   11.230  2.0  1.25000  1.0   0.00200  3.00   30.000
101029  -1.00   2.3653  900   10.990  2.0  1.25000  1.0   0.00200  3.00   30.000
101030  -1.00   2.3731  900   10.699  2.0  1.25000  1.0   0.00200  3.00   30.000
101031  -1.00   2.3653  900   11.510  2.0  1.25000  1.0   0.00200  3.00   30.000
101032  -1.00   2.3731  900   11.955  2.0  1.25000  1.0   0.00200  3.00   30.000
101033  -1.00   2.3653  900   11.902  2.0  1.25000  1.0   0.00200  3.00   30.000
101034  -1.00   2.3731  900   12.055  2.0  1.25000  1.0   0.00200  3.00   30.000
101035  -1.00   2.3653  900   11.287  2.0  1.25000  1.0   0.00200  3.00   30.000
101036  -1.00   2.3731  900   10.620  2.0  1.25000  1.0   0.00200  3.00   30.000
101037  -1.00   2.3653  900   10.656  2.0  1.25000  1.0   0.00200  3.00   30.000
101038  -1.00   2.3731  900   10.859  2.0  1.25000  1.0   0.00200  3.00   30.000
101039  -1.00   2.3653  900   11.780  2.0  1.25000  1.0   0.00200  3.00   30.000
101040  -1.00   2.3731  900   11.334  2.0  1.25000  1.0   0.00200  3.00   30.000
101041  -1.00   2.3653  900   11.435  2.0  1.25000  1.0   0.00200  3.00   30.000
101042  -1.00   2.3731  900   12.159  2.0  1.25000  1.0   0.00200  3.00   30.000
101043  -1.00   2.3653  900   11.931  2.0  1.25000  1.0   0.00200  3.00   30.000
101044  -1.00   2.3731  900   12.382  2.0  1.25000  1.0   0.00200  3.00   30.000
101045  -1.00   2.3653  900   12.507  2.0  1.25000  1.0   0.00200  3.00   30.000
102001  -1.00   2.3735  900    5.900  2.0  1.25000  1.0   0.00200  3.00    0.000
102002  -1.00   2.3658  900    5.873  2.0  1.25000  1.0   0.00200  3.00    0.000
102003  -1.00   2.3735  900    5.558  2.0  1.25000  1.0   0.00200  3.00    0.000
102004  -1.00   2.3658  900    5.788  2.0  1.25000  1.0   0.00200  3.00    0.000
102005  -1.00   2.3735  900    5.689  2.0  1.25000  1.0   0.00200  3.00    0.000
102006  -1.00   2.3658  900    5.732  2.0  1.25000  1.0   0.00200  3.00    0.000
102007  -1.00   2.3735  900    5.924  2.0  1.25000  1.0   0.00200  3.00    0.000
102008  -1.00   2.3658  900    5.943  2.0  1.25000  1.0   0.00200  3.00    0.000
102009  -1.00   2.3735  900    6.103  2.0  1.25000  1.0   0.00200  3.00    0.000
102010  -1.00   2.3658  900    6.163  2.0  1.25000  1.0   0.00200  3.00    0.000
102011  -1.00   2.3735  900    6.358  2.0  1.25000  1.0   0.00200  3.00    0.000
102012  -1.00   2.3658  900    6.533  2.0  1.25000  1.0   0.00200  3.00    0.000
102013  -1.00   2.3735  900    6.646  2.0  1.25000  1.0   0.00200  3.00    0.000
102014  -1.00   2.3658  900    6.714  2.0  1.25000  1.0   0.00200  3.00    0.000
102015  -1.00   2.3735  900    6.854  2.0  1.25000  1.0   0.00200  3.00    0.000
102016  -1.00   2.3658  900    6.977  2.0  1.25000  1.0   0.00200  3.00    0.000
102017  -1.00   2.3735  900    7.100  2.0  1.25000  1.0   0.00200  3.00    0.000
102018  -1.00   2.3658  900    7.199  2.0  1.25000  1.0   0.00200  3.00    0.000
102019  -1.00   2.3735  900    7.331  2.0  1.25000  1.0   0.00200  3.00    0.000
102020  -1.00   2.3658  900    7.422  2.0  1.25000  1.0   0.00200  3.00    0.000
102021  -1.00   2.3735  900    7.581  2.0  1.25000  1.0   0.00200  3.00    0.000
102022  -1.00   2.3658  900    7.724  2.0  1.25000  1.0   0.00200  3.00    0.000
102023  -1.00   2.3735  900    7.844  2.0  1.25000  1.0   0.00200  3.00    0.000
102024  -1.00   2.3658  900    7.967  2.0  1.25000  1.0   0.00200  3.00    0.000
102025  -1.00   2.3735  900    8.087  2.0  1.25000  1.0   0.00200  3.00    0.000
102026  -1.00   2.3658  900    8.197  2.0  1.25000  1.0   0.00200  3.00    0.000
102027  -1.00   2.3735  900    8.320  2.0  1.25000  1.0   0.00200  3.00    0.000
102028  -1.00   2.3658  900    8.432  2.0  1.25000  1.0   0.00200  3.00    0.000
102029  -1.00   2.3735  900    8.558  2.0  1.25000  1.0   0.00200  3.00    0.000
102030  -1.00   2.3658  900    8.672  2.0  1.25000  1.0   0.00200  3.00    0.000
102031  -1.00   2.3735  900    8.832  2.0  1.25000  1.0   0.00200  3.00    0.000
102032  -1.00   2.3658  900    8.934  2.0  1.25000  1.0   0.00200  3.00    0.000
102033  -1.00   2.3735  900    9.040  2.0  1.25000  1.0   0.00200  3.00    0.000
102034  -1.00   2.3658  900    9.173  2.0  1.25000  1.0   0.00200  3.00    0.000
102035  -1.00   2.3735  900    9.284  2.0  1.25000  1.0   0.00200  3.00    0.000
102036  -1.00   2.3658  900    9.458  2.0  1.25000  1.0   0.00200  3.00    0.000
102037  -1.00   2.3735  900    9.528  2.0  1.25000  1.0   0.00200  3.00    0.000
102038  -1.00   2.3658  900    9.628  2.0  1.25000  1.0   0.00200  3.00    0.000
102039  -1.00   2.3735  900    9.772  2.0  1.25000  1.0   0.00200  3.00    0.000
102040  -1.00   2.3658  900    9.893  2.0  1.25000  1.0   0.00200  3.00    0.000
102041  -1.00   2.3735  900   10.011  2.0  1.25000  1.0   0.00200  3.00    0.000
102042  -1.00   2.3658  900   10.152  2.0  1.25000  1.0   0.00200  3.00    0.000
102043  -1.00   2.3735  900   10.259  2.0  1.25000  1.0   0.00200  3.00    0.000
102044  -1.00   2.3658  900   10.367  2.0  1.25000  1.0   0.00200  3.00    0.000
102045  -1.00   2.3735  900   10.480  2.0  1.25000  1.0   0.00200  3.00    0.000
102046  -1.00   2.3658  900   10.630  2.0  1.25000  1.0   0.00200  3.00    0.000
102047  -1.00   2.3735  900   10.721  2.0  1.25000  1.0   0.00200  3.00    0.000
102048  -1.00   2.3658  900   10.864  2.0  1.25000  1.0   0.00200  3.00    0.000
102049  -1.00   2.3735  900   10.971  2.0  1.25000  1.0   0.00200  3.00    0.000
102050  -1.00   2.3658  900   11.096  2.0  1.25000  1.0   0.00200  3.00    0.000
102051  -1.00   2.3735  900   11.233  2.0  1.25000  1.0   0.00200  3.00    0.000
102052  -1.00   2.3658  900   11.350  2.0  1.25000  1.0   0.00200  3.00    0.000
102053  -1.00   2.3735  900   11.451  2.0  1.25000  1.0   0.00200  3.00    0.000
102054  -1.00   2.3658  900   11.600  2.0  1.25000  1.0   0.00200  3.00    0.000
102055  -1.00   2.3735  900   11.715  2.0  1.25000  1.0   0.00200  3.00    0.000
102056  -1.00   2.3658  900   11.836  2.0  1.25000  1.0   0.00200  3.00    0.000
102057  -1.00   2.3735  900   11.957  2.0  1.25000  1.0   0.00200  3.00    0.000
102058  -1.00   2.3658  900   12.086  2.0  1.25000  1.0   0.00200  3.00    0.000
